Question,Answer
What does "Track Status" allow me to do?,Track Status allows you to monitor the current state of your leave credit application in real-time.
How does the "All Employees" feature work?,"The ""All Employees"" feature displays a list of all employees in the organization, allowing you to view their leave credit status."
What is meant by "Applied Days"?,Applied Days refers to the number of days an employee has requested for leave credit.
How is the "Credited Date" different from the "Application Date"?,"Credited Date is when the leave was actually credited to the employee's account, while ""Application Date"" is when the employee applied for leave credit."
Can I view previous leave credit requests using "Credit Application History"?,"Yes, the ""Credit Application History"" shows a log of all past leave credit applications made by the employee."
What does "Is validate Entry As Per Rule" mean?,It checks if the leave credit application adheres to the organization's leave policies and rules.
How do I know how much leave has been credited?,The "Leave Credited" feature displays the amount of leave that has been added to the employee's account.
Who is currently processing my application?,Pending with shows the person or department currently reviewing your leave credit application.
How does the "Select All" feature work?,"Select All allows you to select all entries or records displayed on the page at once, useful for bulk actions."
Can I view who has approved my application in the past?,"Yes, the ""Approver History"" provides a log of all individuals who have approved or reviewed your application."
How do I add remarks to my leave application?,Use the "Leave Remark" feature to add any additional notes or comments to your application.
What is the purpose of "Quick Approval"?,Quick Approval allows managers or HR to rapidly approve leave credit requests without navigating through multiple pages.
What information does the "Session Name" provide?,Session Name indicates the specific session or time period for which the leave credit is being applied.
Can you explain the "SP CASE" feature?,"SP CASE is a special case scenario for leave credit, which might be outside the regular leave policies."
What does "Escalation Remark" mean?,Escalation Remark provides notes or reasons when a leave credit application is escalated to higher authorities for review.
How can I determine the escalation status of my application?,The "Escalation Status" feature indicates whether an application has been escalated and its current state in the escalation process.
What does the "Send To" feature do?,Send To allows you to forward or redirect the leave credit application to another individual or department for review or action.
What information does "Sr. No." provide?,"Sr. No. is the serial number or unique identifier for each leave credit application, helping in easy tracking."
Why can't I modify my application?,"If you see the message ""The application is in escalation process so it cannot be modified now,"" it means your application is under review at a higher level and cannot be edited."
What does the "Apply" button do?,The "Apply" button is used to submit a new leave credit application or to save changes made to an existing one.
How can I view past applications and their statuses?,Use the "View History" feature to see a log of all your past leave credit applications and their respective outcomes.
What do "Leave Abbreviation" and "Leave Type" indicate?,"Leave Abbreviation is a short form for the type of leave, while ""Leave Type"" gives a detailed description, e.g., Paid Leave, Sick Leave, etc."
What's the difference between "Credited Days" and "Credited Hours"?,"Credited Days refers to the number of full days of leave credited, while ""Credited Hours"" gives the leave credit in hours, useful for partial-day credits."
What is meant by "Part Of Day"?,Part Of Day indicates if the leave credit is for a full day or just a portion of the day.
How can I view applications that are yet to be processed?,The "Pending Application" feature shows a list of all leave credit applications that are awaiting approval or action.
How do I understand "Credit Days"?,Credit Days displays the total number of days for which leave has been credited to the employee's account.
Why is it important to validate an entry?,Validating an entry using "Is validate Entry" ensures that the application aligns with organizational rules and avoids potential errors.
Why do I need to provide a "Reason" for my application?,Providing a "Reason" helps the approver understand the context of the leave credit request and aids in faster processing.
What is the main purpose of the "Leave Credit Application" page?,"This page allows employees to apply for leave credits, and for managers or HR to review, approve, or decline such applications."
Why am I seeing the "Check Escalation Is Not Set" message?,This message indicates that escalation settings or rules have not been defined for the current leave credit application.
What does "Please define Leave master or Leave structure AS Credit Base for employees leave group" mean?,"This prompt indicates that the master settings or foundational rules for leave credits, specific to employee groups, need to be set up or defined."
Can I add additional notes to my application?,"Yes, use the ""Application Remarks"" feature to add any supplementary notes or comments."
What does "Credit Leave Date" signify?,Credit Leave Date is the date when the leave was officially added or credited to the employee's account.
Can I comment on someone's leave application?,"Yes, the ""Comment"" feature allows you to add feedback or notes on any leave credit application."
How can I determine the current state of an application?,"Use the ""Status"" feature to view the current state, e.g., Approved, Declined, Pending, of a leave credit application."
What is "Leave Credit Approval"?,Leave Credit Approval refers to the process where a manager or HR reviews and approves or declines a leave credit application.
Can I manually enter leave credits for an employee?,"Yes, the ""Leave Credit Manual Entry"" feature allows HR or managers to manually add leave credits to an employee's account."
How can I quickly approve multiple applications?,Use the "Select" feature to select multiple applications and then utilize the "Quick Approval" option for rapid approval.
What does "Escalation Status" indicate?,Escalation Status shows whether an application has been escalated for higher review and its current state in that process.
What do I need to know about "Leave Remark"?,Leave Remark is a feature where employees or managers can add notes or comments about the leave credit application.
Why is it important to validate entries?,Validating entries using "Is validate Entry" ensures data accuracy and alignment with organizational leave policies.
What does "Application Status" show?,"Application Status displays the current state of a leave credit application, e.g., Approved, Pending, Declined."
How do I understand "Leave Abbreviation"?,"Leave Abbreviation is a shorthand or acronym for the type of leave being credited, e.g., PL for Paid Leave."
Can I see the total hours credited for a leave?,"Yes, the ""Credited Hours"" feature displays the total hours of leave credited to an employee's account."
Why would an application be a part of a day?,"If an employee requests leave credit for just a few hours or half a day, it's considered as ""Part Of Day""."
How do I check if an application is pending approval?,Use the "Pending Application" feature to view all applications that are yet to be approved or declined.
Why might I see the message "The application is in escalation process so it cannot be modified now"?,"This message appears when an application has been escalated for higher review, and any modifications are locked during this process."
How can I view the complete history of an application?,Use the "View History" option to see a detailed log of actions and statuses for a particular leave credit application.
Why is the "Leave Type" important?,"Leave Type provides details about the kind of leave being requested or credited, helping in proper categorization and processing."
What does the "Credit Days" feature show?,Credit Days displays the total number of days for which leave has been credited to an employee's account.
How do I calculate leave encashment?,You can calculate leave encashment using the "Calculate" feature within the application.
How can I apply for leave encashment?,"To apply, click on ""Apply Now"" and follow the application process."
Where can I check my leave balance as of a specific date?,Use the "Balance as on date" feature to view your leave balance as of a specific date.
How do I calculate leave encashment on a monthly basis?,You can use the "Calculate As Per Month" feature for monthly leave encashment calculations.
What is the "Carry Forward (Previous Period)" feature used for?,It helps you carry forward unused leave from the previous period.
Where can I see the number of days available for encashment?,Check the "Days To Encash" feature for this information.
What is the significance of "Group Join Date" and "Join Date"?,These dates determine your eligibility for leave encashment.
How can I view the leave I've used so far?,Leave Used and "Leave Used (Including Pending Leave)" provide this information.
How do I know the status of my leave encashment application?,You can check the "Status" to track your application's progress.
What is "Available Leaves (As On Date)"?,It represents your available leaves as of a specific date after deductions.
Where can I find my closing balance from the previous period?,Look for "Closing Balance (Previous period)" to view this data.
What is the purpose of "Encash Remark" field?,You can add remarks or notes related to your leave encashment.
How can I check my entitlement till date?,Use the "Entitlement Till Date" feature to see your entitlement information.
What does the "Is Validate Entry As Per Policy" option do?,It validates your entry against company leave policies.
What is "Leave Abbreviation" used for?,It provides abbreviations for different leave types.
When would I manually adjust leave (C)?,You can use "Manually Adjusted (C)" to make manual adjustments to your leave balance.
How do I know if my leave was paid in a specific period?,Check "Paid In Period" for information on paid leave periods.
Where can I send my leave encashment application to?,You can specify the recipient in the "Send To" field.
What is "Separation Date" for?,It's used to determine leave eligibility in case of employee separation.
How do I specify the leave encashment type?,Use the "Encashment Leave Type" field for this purpose.
How can I track pending leave encashment applications?,Look for "Pending Application" to see pending applications.
How do I select multiple entries at once?,Use "Select All" to select all entries at once.
Where can I check the status and remarks for my application?,You can find this information in "Self Status And Remark" and "Approver Status and Remark."
What are "Encashable Leaves" and "Encash Amount"?,These fields show the leaves eligible for encashment and the corresponding amount.
How can I view my entitlement till a specific date?,Use "Entitled Till Date" and specify the date.
Where do I enter the starting date for leave encashment?,Input the date in the "From Date" field.
What happens to leaves that have lapsed due to validity?,Leaves Lapsed (Incase of validity) displays this information.
How do I select specific entries?,Use the "Select" option to choose individual entries.
What is "Leave Encashment Application" for?,It's the main section for leave encashment application submission.
How do I exempt a certain amount from encashment?,Enter the amount in "Amount Exempt."
How can I calculate leave encashment based on a specific period?,Use the "Calculate As Per Period" feature and specify the period.
Where can I find the confirmation date for my application?,Look for "Confirmation Date" for this information.
What does "Current Year Entitlement Till Date (B)" represent?,It shows your entitlement for the current year up to a specific date.
How can I view a list of application statuses?,Use "Status List" to see a list of application statuses.
What should I do if my leave has lapsed?,Check "Leave Lapsed" for information on lapsed leaves.
How can I track my leave usage?,Leave Used and "Leaves Balance" provide information on leave usage and balance.
What is the daily wage for leave encashment?,Leave Wages Per Day displays the daily wage for encashment.
How can I quickly approve a leave encashment application?,Use "Quick Approval" for swift application approval.
What information should I provide in the "Reason" field?,Enter the reason for your leave encashment application.
Where can I check the status of leave encashment approvals?,Leave Encashment Approval displays approval statuses.
What is the "Application date" used for?,It signifies the date of your leave encashment application.
How do I check my leave balance up to a specific date?,Use "Balance Till Date" and specify the desired date.
How can I add comments to my application?,Enter comments in the "Comment" field.
Where can I find details about my encashment?,Look for "Encashment Detail" for detailed encashment information.
How can I check the escalation status of my application?,Use "Escalation Status Name" for escalation status information.
What is "Leave End Year" for?,It signifies the end of the leave year for encashment purposes.
How can I view my total leave in a year?,Check "Total Leave In Year" for this information.
Where can I view the balance details of my leave?,Use "View Leave Details Balance" for leave balance details.
How do I confirm if escalation is not set for my application?,Check "Check Escalation Is Not Set" for this confirmation.
How do I submit my leave encashment application?,Click on "Submit" to submit your application for processing.
How do I apply for leave?,You can apply for leave by clicking on the "Apply Now" button on the Leave Application page.
How can I view the approval history of my leave application?,"To view the approval history, click on the ""Approver History"" option on the Leave Application page."
How can I delete a leave application?,"You can delete a leave application by confirming your decision when prompted with the message, ""Are you sure you want to delete this application?"""
How do I attach a fitness certificate to my leave application?,"When applying for leave, you can attach a fitness certificate by using the ""Attach Fitness Certificate"" feature provided on the page."
Where can I check my available leaves as of a specific date?,You can check your available leaves as of a specific date by using the "Available Leaves As On Date" feature on the Leave Application page.
Can I carry forward unused leaves to the next year?,The "Carry Forward" feature allows you to carry forward unused leaves to the next year.
How can I check the escalation status of my leave application?,"To check the escalation status, you can use the ""Escalation Status List"" feature on the Leave Application page."
How do I select leave details when applying for leave?,You can select leave details using the "Select Detail" option on the Leave Application page.
How can I view the leaves I've already utilized?,You can view the leaves you've utilized in the "Utilized" section of the Leave Application page.
Can I delete a leave application after submission?,"You can delete a leave application after submission by confirming your decision when prompted with the message, ""Are you sure you want to delete this application?"""
What is meant by "As per leave structure"?,As per leave structure refers to the rules and guidelines defined in your organization's leave policy. It may affect your leave application based on those rules.
When do I need to attach a supporting medical document?,You will need to attach a supporting medical document when it is required according to your organization's leave policy.
Is there a limit to the number of leaves I can take in a lifetime?,"Yes, there may be a limit to the number of leaves you can take in a lifetime, depending on your organization's leave policy."
Can I apply for leave for a date beyond my retirement date?,"No, the ""Leave Application Date"" cannot be after your retirement date."
Can I apply for leave after the leave year has ended?,You cannot apply for leave if the leave year has ended.
How can I attach documents to my leave application?,You can attach documents to your leave application using the "Attach Documents" feature on the page.
What information is required in the "Leave Name" field?,"In the ""Leave Name"" field, specify the type of leave you are applying for, such as sick leave or vacation leave."
How can I check who the leave application is pending with?,You can see who the leave application is pending with by checking the "Pending With" field on the Leave Application page.
Can I add remarks to my leave application?,"Yes, you can add remarks to your leave application."
How do I select a leave type when applying for leave?,You can select a leave type from the available options using the "Select" or "Select All" feature on the Leave Application page.
What is the "Days from leave date" field for?,The "Days from leave date" field may be used for specifying the number of days for your leave application.
Why do I receive an error when trying to apply for leave with a total of 0 days?,The total leave days application should be greater than 0. Make sure you have specified the correct number of leave days.
What does "On" mean in the context of leave application?,On is used to specify a particular date for your leave application.
Why am I not allowed to apply for past leaves?,You cannot apply for past leaves because the leave application date should be in the future.
Can I apply for leave too early in advance?,"No, you cannot apply for leave too early in advance."
What is the "Application date" field for?,The "Application date" field is for specifying the date on which you are submitting your leave application.
How do I update my contact and address information for leave?,You can update your contact and address information on the "Contact & Address" section of the Leave Application page.
Is it possible to apply for leave after the separation date?,"No, the ""Leave Application Date"" cannot be after your separation date."
Can I apply for leave before my join date?,"No, the ""Leave Application Date"" cannot be before your join date."
What does "period" refer to in the context of leave application?,Period may refer to the duration or time frame for which you are applying for leave.
Why should I check the date and shift before applying for leave?,It is important to check the date and shift to ensure that your leave application aligns with your work schedule and the organization's policies.
Can I select an employee on leave as my backup?,"No, you cannot select an employee on leave for the same period as your backup."
Why do I see an error message mentioning a leave limit has been exceeded?,"The error message indicates that you have already applied for leave for a certain number of days within a specific time frame, and it exceeds the limit defined by your organization's leave policy."
How far in advance can I apply for leave?,You can apply for leave before a certain number of days as per your organization's policy.
Why can't I apply for leave after the year-end processing is done?,"You cannot apply for leave after the year-end processing is done because the leave year has been closed, and no further applications are allowed for that year."
How can I confirm that all supporting documents have been submitted with my leave application?,You can confirm that all supporting documents have been submitted by checking the "All Supportings Submitted" status on the Leave Application page.
What information is available in the "Due Date" field?,The "Due Date" field may contain the deadline or due date associated with your leave application.
What is the "Comp-Off Expiry Date"?,The "Comp-Off Expiry Date" specifies the date until which you can use your compensatory off leave.
How can I check my current year entitlement until a specific date?,You can check your current year entitlement until a specific date by using the "Current Year Entitlement Till Date" feature on the page.
What does "Lapsed Days" refer to in leave context?,Lapsed Days refers to the number of days of leave that have expired or lapsed without being utilized.
What are "Leave Reasons" and "Leave Remarks" fields for?,"The ""Leave Reasons"" field is used to specify the reasons for taking leave, while the ""Leave Remarks"" field can be used for additional comments or explanations regarding your leave application."
What is the significance of "Leave Days" and "Day Type" fields?,"Leave Days indicates the number of days you are requesting for leave, and ""Day Type"" may specify whether it's a full day or a half-day leave."
How can I enter leave manually if needed?,You can manually enter leave details using the "Manual Leave Entry" feature on the Leave Application page.
Why am I asked to contact my HR Business Partner for clarification?,"If you do not have sufficient leave balance, you may be asked to contact your HR Business Partner for further clarification or to discuss alternatives."
Why should I verify the leave structure for the selected leave type?,Verifying the leave structure ensures that your leave application complies with the rules and requirements specific to the selected leave type.
What should I do if the total number of leave applications in a year has been exceeded?,"If you have already applied for leave exceeding the annual limit, you may need to reconsider your leave plans or seek approval for exceptions."
Can I apply for leave even if my attendance period has been closed?,"No, if the attendance period has been closed, you cannot modify your leave application."
What does it mean when the application is in escalation process?,"When the application is in escalation process, it indicates that the request is being forwarded to higher authorities for approval. Modifications to the application may not be possible during this stage."
Is there a limit to the maximum number of days I can apply for leave?,"Yes, there may be a maximum limit to the number of days you can apply for leave, as defined by your organization's leave policy."
Why can't I withdraw my leave application even though my balance is maximum?,You cannot withdraw your leave application if your leave balance is already at its maximum because you have no additional leave days to credit back.
How do I approve a leave application?,"To approve a leave application, use the ""Leave Approval"" feature on the page and follow the approval workflow specified by your organization."
How can I check if all supporting documents have been submitted for a leave application?,You can check if all supporting documents have been submitted by reviewing the "All Supportings Submitted" status on the Leave Application page.
What is the significance of "Comp-Off Date" in leave context?,Comp-Off Date refers to the specific date for which you are applying for a compensatory off leave.
How can I view the escalation remarks for my leave application?,You can view the escalation remarks in the "Escalation Remark" section on the Leave Application page.
What information does the "Expected Delivery Date" field contain?,The "Expected Delivery Date" field may contain the estimated date of delivery for a leave application related to maternity or paternity leave.
What is the purpose of the "Reference Code" field?,The "Reference Code" field may be used for adding a unique identifier or reference to your leave application.
How do I specify the day of the week for my leave application?,You can specify the day of the week by using the "Week Day" option when applying for leave.
What happens if my applied leave days exceed my current leave balance?,"If your applied leave days exceed your current leave balance, you may need to revise your leave application or seek approval for the additional days."
When do I need to attach a supporting medical document for my leave application?,You need to attach a supporting medical document when it is a requirement based on your organization's leave policy.
What should I do if there is no defined shift for my leave application?,"If there is no defined shift for your leave, you should contact your HR or leave administrator for guidance and clarification."
Why am I seeing an error message when trying to apply for leave?,"Error messages may appear for various reasons, such as incomplete information or policy violations. Review the specific error message to understand the issue and take appropriate action."
How can I validate my leave application as per the rules?,You can validate your leave application as per the rules using the "Validate As Per Rule" feature provided on the Leave Application page.
Why can't I modify an application that is in the escalation process?,Applications in the escalation process cannot be modified because they are being reviewed by higher authorities. You may need to wait for approval or contact the relevant person for assistance.
Can I apply for a minimum number of leave days?,"Yes, you can apply for a minimum number of leave days based on your organization's leave policy."
Is there a maximum limit to the number of leave days I can apply for?,"Yes, there may be a maximum limit to the number of leave days you can apply for, depending on your organization's leave policy."
Why can't I approve a leave application?,"You may not be able to approve a leave application for various reasons, such as policy violations or lack of permissions. Review the specific error message or consult with your HR department for assistance."
Why am I being informed that I have already applied for cancellation?,The message indicates that you have already initiated the process of canceling a previously submitted leave application.
What is the 'Created On' feature used for?,This displays the date and time when a particular record was created.
How can I view 'Target Field Name'?,The 'Target Field Name' displays the designated fields in your HRMantra to which the imported data will map.
How does the 'Leave History Imp-Exp' work?,This feature allows users to import and export leave history data for analysis and backup purposes.
What's the role of 'Mapping Name'?,This represents the title or name given to a particular set of mapping rules between the source and target fields.
What do you mean by 'Source Field Name'?,The 'Source Field Name' indicates the field names in the source file from which data will be imported.
How can I add a new rule for data import?,Click on 'Add new rule and import' to define and apply new mapping rules.
How do I start the import process?,Simply click on the 'Import' button to begin the data importation.
Can I see when a file was imported?,"Yes, the 'Imported Date' feature shows the date when a file was last imported."
Where can I view the imported files?,Navigate to 'Imported File' to see a list of all imported files.
How can I check my import history?,"By clicking 'View Import History', you can review a log of all your past imports."
Where do I define field mappings?,The 'Mapping' section lets you define how data from the source file will map to your HRMantra.
What is 'Page Info Type'?,It represents metadata or categorical information about the current page.
Can I adjust leaves using this tool?,"Yes, use 'Leave Adjustment Imp-Exp' to make adjustments to leave records."
How can I upload a file?,Click on 'Click to upload Or Drag drop file here' and choose the file from your device or drag it to the designated area.
Is there a limit to the file size I can upload?,"Yes, refer to 'Maximum File Size' for the allowable limit for upload."
Can I export a template for data input?,"Yes, click 'Export Template' to download a predefined format for data input."
Where can I see the leave balance at the end of the year?,Navigate to 'Leave Closing Balance Of The Year' for this data.
What are 'Mapped Rules'?,These are predefined rules that determine how source data maps to target fields in the HRMantra.
Can I view the opening balance of leaves?,"Yes, the 'Leave Opening Bal Imp-Exp' shows the leave balance at the start of the year."
What does 'Show' do?,It displays specific details or records based on the chosen filters or criteria.
How can I view mapping history?,Click on 'View Mapping History' to see a log of all changes made to field mappings.
Are there specific file types allowed for upload?,"Yes, refer to 'Allowed File Extensions' for the list of permitted file types."
What's 'Info Type'?,It provides additional metadata or classification information about a particular data set or record.
How does 'Leave Credit Imp-Exp' function?,"It allows users to import and export credit leave records, facilitating easy data management."
Why is validation mandatory?,"Validation ensures data consistency, accuracy, and integrity when importing or exporting data."
Can I see the employee's name associated with a record?,"Yes, refer to the 'Employee Name' feature."
How do I know when data was exported?,The 'Date Imported' feature displays the timestamp of when data was last exported.
What does 'Export Template' do?,It provides a standard format to help users structure their data correctly before importing it into HRMantra.
How does the 'Validation Is Mandatory' feature work?,"This ensures that all data must pass specific validation rules before it can be imported, ensuring data quality."
What's the difference between 'Source Field' and 'Source Field Name'?,"Source Field' is the actual data column from the source file, while 'Source Field Name' is the label or name of that column"
How can I adjust the leave balance for an employee?,Navigate to the 'Leave Adjustment Imp-Exp' to make necessary changes to an individual's leave records.
Is there a specific file format I need to adhere to while importing?,"Yes, refer to 'Allowed File Extensions' to check the supported file types for import."
Can I view the mapping changes made over time?,"Yes, the 'View Mapping History' option provides a historical view of all changes made to the mapping rules."
What happens if I upload a file that exceeds the 'Maximum File Size'?,"HRMantra will display an error, and the upload will be unsuccessful. Ensure your file is within the specified limit."
What's the purpose of the 'Info Type' in my leave data?,"Info Type' categorizes or classifies your data, offering a clearer understanding and organization of your leave records."
How can I credit leaves to an employee?,Utilize the 'Leave Credit Imp-Exp' feature to either import bulk leave credits or make manual adjustments.
Can I see an overview of all imported files at once?,"Yes, navigate to 'View Import History' to get a consolidated view of all your past imports."
Is there a way to understand how the fields in my source file correspond to the fields in the HRMantra?,"Yes, the 'Mapping' feature visually demonstrates how data fields from the source relate to target fields in the HRMantra."
How do I know if my import was successful?,"After importing, check the 'Imported Date' and 'Imported File' sections. A recent timestamp and file name indicate a successful import."
Can I drag and drop multiple files at once for importing?,"While HRMantra supports drag and drop functionality, you should refer to the tool's documentation or 'Page Info Type' to see if bulk uploads are supported."
What should I do if I encounter an error during import?,"Ensure that your file matches the 'Export Template', adheres to the 'Allowed File Extensions', and validate the data. If issues persist, contact your system administrator."
How can I get a pre-defined format for my export data?,"Click on the 'Export Template' option to download a standard format, aiding in structuring your data for future imports."
Does 'Validation Is Mandatory' mean I cannot bypass any errors during import?,"Yes, it ensures that you cannot proceed with an import unless the data meets the validation criteria set by HRMantra."
Can I customize the mapping rules for import?,"Yes, using the 'Add new rule and import' feature, you can define and customize mapping rules as per your requirements."
How do I identify the employee associated with a particular import record?,The 'Employee Name' field will display the name of the employee linked to a specific leave record or import.
Can I adjust the leave balances at both the start and end of the year?,"Yes, with 'Leave Opening Bal Imp-Exp' and 'Leave Closing Balance Of The Year' features, you can adjust balances for both timeframes."
What should I do if I can't see my imported file in the history?,"Ensure you've successfully imported the file. If issues persist, refresh the 'Leave History Imp-Exp' page or contact your system administrator."
What does "Adjustment Date" refer to?,The "Adjustment Date" refers to the specific date on which any modifications or adjustments were made to an employee's leave balance.
How do I calculate "Available Leaves (As On Date) (A+B+C)-(E+F)"?,"Available Leaves (As On Date) is calculated by summing up the Carry Forward from the previous period (A), Current Year Entitlement till Date (B), and Manually Adjusted leaves (C) and then deducting Leaves Used (Including Pending Leave) (E) and Leaves Lapsed (In case of validity) (F)."
Can I manually enter leave data for an employee?,"Yes, using the ""Manual Leave Entry"" feature, you can manually input or adjust leave data for any employee as required."
How do I view a detailed breakdown of an employee's leave history?,"To view detailed leave history, navigate to ""Leave History"" or click on ""View Leave Balance Details"" for a comprehensive breakdown."
What is the significance of "Join Date" and "Group Join Date"?,Join Date refers to the date an employee officially started working in the organization. "Group Join Date" pertains to the date an employee joined a specific department or team within the organization.
How are "Utilized Days" different from "Leave Used (Including Pending Leave) (E)"?,"Utilized Days refer to the total number of leaves an employee has taken, while ""Leave Used (Including Pending Leave) (E)"" includes both approved and pending leave requests."
Can I view remarks made by the approver for a leave request?,"Yes, you can view any comments or remarks made by the approver in the ""Approver Name & Remarks"" section."
What does "Leave To Be Lapse At Year End" indicate?,This indicates the number of leaves that will be forfeited or lapsed if not used by the end of the year.
Is there a way to track leaves that were manually adjusted?,"Yes, any leaves that are manually adjusted can be viewed under ""Manually Adjusted (C)""."
How do I determine the "Leave Year End"?,"Leave Year End refers to the closing date of the leave year, which is the last day of the calendar or fiscal year, depending on company policy."
How can I check when a leave was approved?,The "Approved On" feature displays the date on which a leave request was approved by the relevant authority.
Who approved a specific leave request?,You can find the name of the person who approved a specific leave request under the "Approver Name" feature.
What does "Credited Date" indicate?,The "Credited Date" refers to the date on which leaves were added or credited to an employee's leave balance.
How is "Current Year Entitlement Till Date (B)" determined?,This represents the total leave entitlement an employee has accumulated from the beginning of the current year up to the present date.
What is the meaning of "As on date"?,As on date refers to the specific date on which the leave balance or history is being viewed or reported.
Can I view details of a specific leave entry?,"Yes, by clicking on the ""View Details"" option, you can access a detailed breakdown of any specific leave entry."
How do I know if a leave will expire?,"The ""Expiry Date"" feature will show the date on which a particular leave type, like comp off, will expire if not utilized."
What's the difference between "From Date" and "To Date"?,"From Date indicates the starting day of the leave period, while ""To Date"" signifies the ending day of the leave period."
How is "Carry Forward (Previous Period) (A)" calculated?,This represents the number of leaves from the previous year or period that an employee is allowed to carry forward to the current period.
Is there a way to print the leave history?,"Yes, by clicking on the ""Print"" button, you can print out the leave balance and history for record-keeping or reference purposes."
How does the "Calculate Leave As On Date" feature work?,"This feature allows you to determine an employee's leave balance as of a specific date by factoring in all credits, debits, and adjustments up to that date."
What is the significance of "Last Working Date"?,The "Last Working Date" refers to the most recent date on which the employee was present at work before taking a leave.
Can I make adjustments to the leave days after they've been recorded?,"Yes, using the ""Adjustment Days"" feature, you can modify the number of leave days for any particular entry."
What is "Deduction Type"?,"Deduction Type indicates the method or reason for a leave deduction, such as absence, late coming, or any other specified reason."
What does "Comp Off Against" mean?,This feature allows you to track compensatory offs that an employee earns against extra working days or overtime.
How is "Current Year Accumulated Till Date" different from "Current Year Entitlement Till Date (B)"?,"Current Year Accumulated Till Date refers to the total leaves an employee has accumulated over the year, while ""Current Year Entitlement Till Date (B)"" indicates the leaves an employee is entitled to up till the current date."
Is there a feature to view details about leave abbreviations used?,"Yes, the ""Leave Abbreviation"" feature provides a brief description or legend for all leave type abbreviations used in HRMantra."
Can I view how many leaves will lapse due to validity constraints?,"Yes, the ""Leaves Lapsed (In case of validity) (F)"" feature shows the number of leaves that will be forfeited if not utilized within a certain validity period."
What information can be accessed under "Leave Credit Utilization Detail"?,This feature provides a detailed breakdown of how an employee's credited leaves have been utilized throughout the year.
How can I view or add remarks to a leave entry?,"Remarks can be viewed or added under the ""Remarks"" feature. Additionally, the applicant and approver can provide specific comments under ""Applicant Remarks"" and ""Approver Name & Remarks"" respectively."
How do I determine the "Final Status" of a leave request?,"Final Status provides the ultimate decision or state of a leave request, indicating whether it's approved, pending, rejected, or any other possible status defined in HRMantra."
What is the significance of the "Confirm Date"?,"The ""Confirm Date"" indicates the day on which a leave request was either approved or rejected, confirming its final status."
Can I see the total number of leaves an employee is entitled to in a year?,"Yes, ""Total Leaves In A Year"" showcases the overall leave entitlement for an employee for the entire year."
How do I understand the "Balance as on date"?,"Balance as on date represents the current leave balance of an employee as of a specific date, taking into account all accrued and utilized leaves up to that date."
What does "Ref. code & Application Date" mean?,"Ref. code is a unique identifier for a specific leave request, and ""Application Date"" indicates the day the leave request was made."
Can I determine if an employee worked extra on a certain day?,"Yes, the ""Extra Working On"" feature showcases dates when an employee worked beyond their regular hours or on off-days."
What is "Leave Credit Entry"?,"This feature allows admins or managers to manually credit leaves to an employee's account, outside of the regular accruals."
How do I calculate leaves used only up to a certain date?,"By using the ""Calculate Leaves Used As On Date Only"" feature, you can determine the total leaves utilized by an employee up to a specific date."
What does "Closing Balance (Previous Period)" mean?,"It refers to the leave balance an employee had at the end of the previous year or period, before any new accruals or lapses for the current period."
How do I access detailed information on a specific leave entry?,"Clicking on ""View Leave Balance Details"" will provide you with a comprehensive breakdown of any specific leave entry, including dates, types, and remarks."
What does the "Show" feature allow me to do?,"The ""Show"" feature allows you to filter and display specific leave records based on selected criteria, helping to streamline the view and make it easier to locate specific entries."
How can I identify the type of leave taken by an employee?,"The ""Leave Name"" feature provides the specific name or type of leave taken, such as sick leave, vacation, or personal day."
Is there a provision to manually adjust an employee's leave balance?,"Yes, the ""Manually Adjusted (C)"" feature lets you make manual corrections or adjustments to an employee's leave balance, which might be necessary due to errors or special circumstances."
What does "Leave Credit Utilization Detail" provide?,This feature offers a detailed breakdown of how credited leaves have been used or allocated by an employee throughout the year.
Can I print a detailed report of an employee's leave history?,"Yes, by clicking on the ""Print"" button, you can generate and print a detailed report of an employee's leave balance and history for record-keeping or managerial review."
How can I view specific details of a particular leave entry?,"By clicking on the ""View Details"" option, you can access a comprehensive breakdown of a particular leave entry, including dates, remarks, and status."
What is the purpose of "Leave Abbreviation"?,"Leave Abbreviation provides short codes or symbols representing different leave types, making it easier to quickly identify and categorize them in records."
How can I add comments or feedback on a leave request?,"Both applicants and approvers can add specific comments or feedback under the ""Applicant Remarks"" and ""Approver Name & Remarks"" sections, respectively."
What does "Deduction Type" indicate?,"Deduction Type specifies the reason for a reduction in leave balance, whether it's due to utilization, an absence, or another specified reason."
Can I see if an employee worked extra and earned compensatory offs?,"Yes, the ""Comp Off Against"" feature lets you track the days when an employee worked extra and earned compensatory offs."
What does "Available Leaves (As On Date)" mean?,This represents the number of leaves you have available as of a specific date.
How is "From Date" used in the leave process?,From Date denotes the starting day of your leave period.
What information is provided in "Generate data as per Form M [Rule(4)]"?,"This feature generates data according to the specifications in Form M, as governed by Rule(4) of the leave regulations."
How do I select a "Leave"?,You can select a leave type from the available options listed in the dropdown.
What are "Leave Days"?,This indicates the number of days you are planning to take off or have taken off.
How is "Total Leaves In A Year" calculated?,This displays the total number of leaves an employee is entitled to in a calendar year.
What if I get the message "Please select at least one leave"?,This means you haven't selected any leave type and need to choose at least one before proceeding.
What does "There is no running process to stop." indicate?,This message is displayed when there's no ongoing leave processing activity that can be halted.
How is "Opening Balance" determined?,This represents the initial balance of leaves you had at the start of the period or year.
